Conversation.json#dialog
测试物品获得|Test Items Acquired
劳烦掌柜为在下准备些上好的饭菜。|Please prepare some delicious food for me.
好的 大人您先找个位子稍等片刻，饭菜马上就来。|Okay, sir, please find a seat and wait for a moment, the food will be here soon.
我想来看看掌柜您这里有没有上好的美酒。|I would like to see if you have any fine wine.
这些是店内的所有的好酒，大人有什么需要的吗？|These are all the good wines in the store. Is there anything I can help you with, my Lord?
您的店真是受欢迎啊。|Your store is really popular.
大人见笑了，如果大人需要喝酒休息、打探近期消息，这里非常适合您来。|Excuse me, sir. If you need to have a drink, rest, or find out the latest news, this is a great place for you.
大人是想交易物品还是有其他委托呢？|Do you want to trade items or have other requests?
我想来做一些交易。|I want to do some trading.
我的货物可遇不可求，包您满意。|My goods are rare and you are guaranteed to be satisfied.
我想劳烦你帮我去传一点闲话，目标是..|I would like to ask you to help me spread some gossip, the goal is...
听闻你这里消息灵通，在下愿用一些银两换之。|I heard that you are well-informed, so I am willing to exchange some silver for it.
大人您这笔钱花的绝对物超所值。|My Lord, this is absolutely worth your money.
ABC大人今日有何安排？|What are Mr. ABC’s plans for today?
阁下别来无恙，在此遇阁下，想必是最近风调雨顺，生活如意啊。|I hope you are doing well, sir. Meeting you here means that you must have been enjoying good weather and a happy life recently.
ABC大人言过了，我以杯中此酒谢过大人。|Lord ABC has spoken, and I would like to thank you with this wine in my glass.
在下也未想到可在此遇到阁下，看来今日是个饮酒的吉日。|never thought I would meet you here. It seems today is an auspicious day for a drink.
ABC大人说笑了，若可饮到美酒，哪日不为吉日呢。|Lord ABC is joking. If you can drink good wine, every day will be an auspicious day.
这位大人，您找我有什么事吗？|Sir, what can I do for you?
这位兄台，本人有一言想告知于你..|My dear brother, I have something to tell you..
听闻最近城内传出颇为有趣的风声。|I heard some interesting rumors coming out of the city recently.
住宿需要的金钱为50，您要住宿吗？|The money required for accommodation is 50. Do you want to stay?
我打算在此住宿一天。|I plan to stay here for one day.
好的，请大人好好休息。|Okay, please have a good rest, sir.
休息完果然精神多了。|I feel much more energetic after the rest.
我打算在此住宿十天。|I plan to stay here for ten days.
我打算在此住宿到体力恢复满。|I plan to stay here until I have recovered enough strength.
我打算在此住宿到精神恢复满。|I plan to stay here until I am fully refreshed.
我打算在此住宿到体力和精神全部恢复满。|I plan to stay here until I am fully recovered physically and mentally.
我打算在此住宿些许时间。|I plan to stay here for a while.
想想还是算了。|After thinking about it, I decided to forget it.
住宿可以有助于恢复您的体力和精神，还可去除您身上其他的不良状态，对您非常有帮助。|Accommodation can help restore your physical and mental strength, and can also remove other unhealthy conditions in your body, which is very helpful to you.
我这里有很多刚刚归来城的特殊货品。|I have a lot of special goods that have just arrived in the city.
这些是我身上的货品，不知有您感兴趣的吗？|These are the items I have on me, are you interested in any of them?
听说武将1出现在了PLACE，他的传闻也到处都是|heard that General 1 appeared in PLACE, and his rumors are everywhere.
竟有此趣事，多谢阁下告知。|Thank you for letting me know this interesting thing.
PLACE的ITEM近期十分的便宜，可惜我运不下那么多ITEM。|PLACE items are very cheap recently, but unfortunately I can’t carry so many items.
多谢阁下将此消息透露于我。|Thank you for letting me know this news.
PLACE那里近日出现了贵族坊市，真是繁华啊。|A noble market has recently appeared in PLACE, and it is really prosperous.
麻雀虽小，却也五脏俱全，不知道您需要点什么？|Although small, it has everything. What could you need?
您想购买什么物品呢？|What do you want to buy?
虽然贩售的并非名贵之物，但是却涵纳相当多的种类供您挑选。|Although the items sold are not expensive, there are quite a lot of types for you to choose from.
您是想选购宝物还是有其他事宜呢？|Do you want to buy treasures or have other matters?
这些是可供您选购的宝物。|These are the treasures available for you to purchase.
宝物类物品可以为您提供武器护甲所不能带来的效果。|Treasure items can provide you with effects that weapons and armor cannot.
您此行是需要多少粮食呢。|How much food do you need for this trip?
这些是店内可供您购买的粮食。|These are the grains available for you to purchase in the store.
从同行处听闻CITY的粮价已是今年最低了。|I heard from my colleagues that food prices in the city are the lowest this year.
大人是想交易武器还是其他事宜呢？|Does your Excellency want to trade weapons or something else?
我这里兵器样样锋利，您想买哪件呢。|I have all kinds of sharp weapons here. Which one do you want to buy?
听闻有人在某处亲眼目睹到了传说武器。|I heard that someone witnessed the legendary weapon somewhere.
大人是想交易盔甲吗？|My Lord, do you want to trade armor?
我这里盔甲类型繁多，包您满意。|I have a wide variety of armor types here, I guarantee you will be satisfied.
听闻有人在某处亲眼目睹到了传说盔甲。|I heard that someone saw the legendary armor somewhere with their own eyes.
